id_commande_client,date_reception,code_article,libelle_produit,quantite_commandee,chaine_froid_requise,site_livraison
FM-001154,25/02/2026,SKU-20018,Pizza surgelee,28,OUI,OMG-LYO
FM-001111,17-10-2025,SKU-20011,Yaourt nature 4x125g,20,OUI,OMG-MAR
FM-000338,26-06-2026,SKU-20016,Fromage rape 200g,38,OUI,OMG-LYO
FM-000846,24-01-2025,SKU-20013,Filet de poulet 500g,14,OUI,OMG-MAR
FM-001388,15-07-2025,SKU-20011,Yaourt nature 4x125g,7,OUI,OMG-MAR
FM-000791,21/01/2026,SKU-20014,Epinards surgeles 1kg,17,OUI,OMG-MAR
FM-001379,2025-03-12,SKU-20015,Jus d'orange 1L,21,OUI,OMG-MAR
FM-000776,2025-05-29,SKU-20018,Pizza surgelee,30,OUI,OMG-LYO
FM-000500,06-01-2025,SKU-20020,Compote pomme 4x100g,9,OUI,OMG-LYO
FM-000350,07-03-2026,SKU-20016,Fromage rape 200g,23,OUI,OMG-LYO
FM-000773,20/02/2026,SKU-20020,Compote pomme 4x100g,25,OUI,OMG-LIL
FM-001281,18/05/2025,SKU-20018,Pizza surgelee,27,OUI,OMG-LIL
FM-001312,2026-02-23,SKU-20018,Pizza surgelee,22,OUI,OMG-LIL
FM-000237,04/04/2025,SKU-20018,Pizza surgelee,20,OUI,OMG-LIL
FM-000035,2026-03-24,SKU-20011,Yaourt nature 4x125g,7,OUI,OMG-MAR
FM-000506,17-06-2026,SKU-20019,Beurre doux 250g,38,OUI,OMG-LIL
FM-001378,31-05-2026,SKU-20020,Compote pomme 4x100g,36,OUI,OMG-MAR
FM-000814,23/02/2025,SKU-20018,Pizza surgelee,10,OUI,OMG-MAR
FM-001076,25/06/2026,SKU-20017,Pommes Gala 1kg,22,OUI,OMG-LYO
FM-001308,03-11-2025,SKU-20015,Jus d'orange 1L,30,OUI,OMG-LYO
FM-001233,21/08/2025,SKU-20013,Filet de poulet 500g,24,OUI,OMG-MAR
FM-000681,2025-09-24,SKU-20017,Pommes Gala 1kg,40,OUI,OMG-MAR
FM-000080,03-11-2025,SKU-20016,Fromage rape 200g,17,OUI,OMG-LYO
FM-000121,2025-03-21,SKU-20013,Filet de poulet 500g,29,OUI,OMG-LIL
FM-000927,19/09/2025,SKU-20013,Filet de poulet 500g,23,OUI,OMG-LIL
FM-000486,2025-03-28,SKU-20013,Filet de poulet 500g,36,OUI,OMG-LYO
FM-000749,2026-01-19,SKU-20013,Filet de poulet 500g,16,OUI,OMG-LIL
FM-000377,30/05/2025,SKU-20018,Pizza surgelee,29,OUI,OMG-MAR
FM-001190,2026-06-28,SKU-20015,Jus d'orange 1L,27,OUI,OMG-MAR
FM-000434,2025-01-24,SKU-20016,Fromage rape 200g,31,OUI,OMG-LIL
FM-000075,26/11/2025,SKU-20017,Pommes Gala 1kg,37,OUI,OMG-MAR
FM-000591,05-03-2025,SKU-20013,Filet de poulet 500g,31,OUI,OMG-LIL
FM-000776,29-05-2025,SKU-20019,Beurre doux 250g,8,OUI,OMG-LYO
FM-000082,2025-10-16,SKU-20013,Filet de poulet 500g,27,OUI,OMG-LIL
FM-001351,27-11-2025,SKU-20014,Epinards surgeles 1kg,13,OUI,OMG-LIL
FM-001306,12/08/2025,SKU-20015,Jus d'orange 1L,40,OUI,OMG-MAR
FM-001044,2026-06-16,SKU-20012,Lait demi-ecreme 1L,20,OUI,OMG-LIL
FM-000107,15-07-2025,SKU-20012,Lait demi-ecreme 1L,38,OUI,OMG-LIL
FM-000100,11-11-2025,SKU-20013,Filet de poulet 500g,40,OUI,OMG-LYO
FM-001379,2025-03-12,SKU-20011,Yaourt nature 4x125g,8,OUI,OMG-MAR
FM-000272,10/06/2026,SKU-20012,Lait demi-ecreme 1L,1,OUI,OMG-LIL
FM-000460,22/04/2026,SKU-20015,Jus d'orange 1L,29,OUI,OMG-LYO
FM-000294,10/06/2026,SKU-20019,Beurre doux 250g,40,OUI,OMG-MAR
FM-001039,14-05-2025,SKU-20019,Beurre doux 250g,14,OUI,OMG-LYO
FM-000387,16/06/2025,SKU-20015,Jus d'orange 1L,36,OUI,OMG-LYO
FM-000502,2026-05-23,SKU-20017,Pommes Gala 1kg,12,OUI,OMG-LYO
FM-000675,12-06-2025,SKU-20012,Lait demi-ecreme 1L,27,OUI,OMG-MAR
FM-000325,04/01/2025,SKU-20016,Fromage rape 200g,9,OUI,OMG-LYO
FM-000253,22-10-2025,SKU-20012,Lait demi-ecreme 1L,31,OUI,OMG-LIL
FM-000281,2025-11-30,SKU-20011,Yaourt nature 4x125g,21,OUI,OMG-MAR
FM-000262,29/06/2026,SKU-20013,Filet de poulet 500g,37,OUI,OMG-LYO
FM-001048,16/10/2025,SKU-20015,Jus d'orange 1L,28,OUI,OMG-LYO
FM-000719,24/04/2026,SKU-20016,Fromage rape 200g,7,OUI,OMG-LYO
FM-000550,2025-10-15,SKU-20012,Lait demi-ecreme 1L,1,OUI,OMG-LYO
FM-000047,29-06-2026,SKU-20011,Yaourt nature 4x125g,34,OUI,OMG-MAR
FM-001379,12/03/2025,SKU-20013,Filet de poulet 500g,4,OUI,OMG-MAR
FM-001188,2026-05-16,SKU-20020,Compote pomme 4x100g,20,OUI,OMG-LYO
FM-000925,31/03/2025,SKU-20018,Pizza surgelee,9,OUI,OMG-LYO
FM-001089,2025-08-30,SKU-20016,Fromage rape 200g,24,OUI,OMG-MAR
FM-000723,2026-07-18,SKU-20013,Filet de poulet 500g,8,OUI,OMG-MAR
FM-000977,14/03/2026,SKU-20011,Yaourt nature 4x125g,26,OUI,OMG-LIL
FM-000092,09/02/2025,SKU-20019,Beurre doux 250g,14,OUI,OMG-MAR
FM-000121,21/03/2025,SKU-20015,Jus d'orange 1L,29,OUI,OMG-LIL
FM-000501,2025-08-23,SKU-20018,Pizza surgelee,36,OUI,OMG-LYO
FM-000175,14/05/2026,SKU-20013,Filet de poulet 500g,35,OUI,OMG-MAR
FM-000062,29-01-2025,SKU-20019,Beurre doux 250g,1,OUI,OMG-MAR
FM-000572,2025-09-17,SKU-20020,Compote pomme 4x100g,39,OUI,OMG-LYO
FM-001217,23-09-2025,SKU-20013,Filet de poulet 500g,8,OUI,OMG-LYO
FM-000345,02/10/2025,SKU-20012,Lait demi-ecreme 1L,6,OUI,OMG-LIL
FM-000285,2025-07-18,SKU-20011,Yaourt nature 4x125g,4,OUI,OMG-MAR
FM-000397,15-09-2025,SKU-20015,Jus d'orange 1L,36,OUI,OMG-LYO
FM-001283,2025-05-06,SKU-20019,Beurre doux 250g,35,OUI,OMG-LYO
FM-000501,2025-08-23,SKU-20018,Pizza surgelee,15,OUI,OMG-LYO
FM-001093,2026-07-20,SKU-20017,Pommes Gala 1kg,13,OUI,OMG-MAR
FM-000726,24-04-2025,SKU-20014,Epinards surgeles 1kg,6,OUI,OMG-LYO
FM-000364,31/07/2025,SKU-20019,Beurre doux 250g,12,OUI,OMG-MAR
FM-000283,09/02/2026,SKU-20016,Fromage rape 200g,32,OUI,OMG-MAR
FM-001003,26-05-2025,SKU-20017,Pommes Gala 1kg,29,OUI,OMG-LIL
FM-001387,26/05/2026,SKU-20020,Compote pomme 4x100g,5,OUI,OMG-MAR
FM-000516,11/12/2025,SKU-20018,Pizza surgelee,24,OUI,OMG-MAR
FM-000403,25/05/2026,SKU-20019,Beurre doux 250g,35,OUI,OMG-LYO
FM-000729,08-10-2025,SKU-20015,Jus d'orange 1L,14,OUI,OMG-MAR
FM-001048,2025-10-16,SKU-20011,Yaourt nature 4x125g,10,OUI,OMG-LYO
FM-000039,2025-11-22,SKU-20020,Compote pomme 4x100g,15,OUI,OMG-LIL
FM-001134,2026-03-11,SKU-20013,Filet de poulet 500g,26,OUI,OMG-LYO
FM-000729,2025-10-08,SKU-20012,Lait demi-ecreme 1L,7,OUI,OMG-MAR
FM-001313,2026-07-08,SKU-20013,Filet de poulet 500g,33,OUI,OMG-LIL
FM-001337,21/02/2026,SKU-20019,Beurre doux 250g,7,OUI,OMG-LYO
FM-000280,11/05/2025,SKU-20018,Pizza surgelee,6,OUI,OMG-LYO
FM-000607,14-07-2025,SKU-20020,Compote pomme 4x100g,33,OUI,OMG-MAR
FM-000925,31/03/2025,SKU-20018,Pizza surgelee,38,OUI,OMG-LYO
FM-000845,20/02/2026,SKU-20020,Compote pomme 4x100g,33,OUI,OMG-LYO
FM-001123,03-04-2025,SKU-20016,Fromage rape 200g,25,OUI,OMG-LIL
FM-001180,2026-01-13,SKU-20014,Epinards surgeles 1kg,26,OUI,OMG-LYO
FM-000792,09/04/2026,SKU-20017,Pommes Gala 1kg,13,OUI,OMG-LIL
FM-000456,30-05-2025,SKU-20020,Compote pomme 4x100g,9,OUI,OMG-LIL
FM-000092,09/02/2025,SKU-20013,Filet de poulet 500g,31,OUI,OMG-MAR
FM-000241,17/01/2025,SKU-20012,Lait demi-ecreme 1L,22,OUI,OMG-LYO
FM-000738,2026-05-08,SKU-20016,Fromage rape 200g,18,OUI,OMG-MAR
FM-000873,10/05/2025,SKU-20011,Yaourt nature 4x125g,28,OUI,OMG-LYO
FM-000537,12/03/2025,SKU-20016,Fromage rape 200g,22,OUI,OMG-LIL
FM-001065,2025-05-02,SKU-20014,Epinards surgeles 1kg,25,OUI,OMG-MAR
FM-001388,2025-07-15,SKU-20017,Pommes Gala 1kg,4,OUI,OMG-MAR
FM-000532,25/04/2025,SKU-20017,Pommes Gala 1kg,27,OUI,OMG-LIL
FM-001124,23/04/2026,SKU-20018,Pizza surgelee,25,OUI,OMG-MAR
FM-000672,2026-04-13,SKU-20012,Lait demi-ecreme 1L,25,OUI,OMG-LYO
FM-001075,2025-07-31,SKU-20012,Lait demi-ecreme 1L,22,OUI,OMG-LYO
FM-000273,10-09-2025,SKU-20014,Epinards surgeles 1kg,4,OUI,OMG-MAR
FM-001084,09-01-2026,SKU-20018,Pizza surgelee,21,OUI,OMG-MAR
FM-000037,11/05/2026,SKU-20012,Lait demi-ecreme 1L,19,OUI,OMG-LYO
FM-000492,13-04-2025,SKU-20013,Filet de poulet 500g,17,OUI,OMG-MAR
FM-000175,2026-05-14,SKU-20013,Filet de poulet 500g,23,OUI,OMG-MAR
FM-001167,19/01/2025,SKU-20011,Yaourt nature 4x125g,14,OUI,OMG-LIL
FM-001084,2026-01-09,SKU-20014,Epinards surgeles 1kg,38,OUI,OMG-MAR
FM-001093,20/07/2026,SKU-20016,Fromage rape 200g,4,OUI,OMG-MAR
FM-000581,2025-05-14,SKU-20017,Pommes Gala 1kg,24,OUI,OMG-MAR
FM-001251,17-01-2025,SKU-20014,Epinards surgeles 1kg,7,OUI,OMG-LYO
FM-000315,17-07-2026,SKU-20015,Jus d'orange 1L,13,OUI,OMG-MAR
FM-000142,08-06-2026,SKU-20020,Compote pomme 4x100g,37,OUI,OMG-LIL
FM-000984,13/01/2026,SKU-20016,Fromage rape 200g,35,OUI,OMG-LIL
FM-000232,25/08/2025,SKU-20018,Pizza surgelee,24,OUI,OMG-MAR
FM-001024,07-12-2025,SKU-20013,Filet de poulet 500g,21,OUI,OMG-LIL
FM-000084,30/05/2026,SKU-20011,Yaourt nature 4x125g,4,OUI,OMG-LYO
FM-000168,22-02-2026,SKU-20015,Jus d'orange 1L,10,OUI,OMG-LYO
FM-001009,24-11-2025,SKU-20019,Beurre doux 250g,20,OUI,OMG-MAR
FM-000104,14-02-2025,SKU-20020,Compote pomme 4x100g,39,OUI,OMG-LYO
FM-001370,07-11-2025,SKU-20013,Filet de poulet 500g,34,OUI,OMG-MAR
FM-000421,17/09/2025,SKU-20011,Yaourt nature 4x125g,13,OUI,OMG-LYO
FM-000616,2025-01-05,SKU-20011,Yaourt nature 4x125g,15,OUI,OMG-LIL
FM-001283,06-05-2025,SKU-20015,Jus d'orange 1L,5,OUI,OMG-LYO
FM-000401,26/05/2026,SKU-20014,Epinards surgeles 1kg,27,OUI,OMG-LIL
FM-000185,04-10-2025,SKU-20015,Jus d'orange 1L,16,OUI,OMG-LYO
FM-000832,14-08-2025,SKU-20020,Compote pomme 4x100g,32,OUI,OMG-LIL
FM-001044,16/06/2026,SKU-20019,Beurre doux 250g,12,OUI,OMG-LIL
FM-001180,2026-01-13,SKU-20017,Pommes Gala 1kg,38,OUI,OMG-LYO
FM-000574,20-01-2026,SKU-20015,Jus d'orange 1L,13,OUI,OMG-LYO
FM-000061,31/03/2026,SKU-20012,Lait demi-ecreme 1L,11,OUI,OMG-LYO
FM-001370,2025-11-07,SKU-20014,Epinards surgeles 1kg,40,OUI,OMG-MAR
FM-000193,23/02/2025,SKU-20017,Pommes Gala 1kg,25,OUI,OMG-MAR
FM-001322,26-04-2026,SKU-20019,Beurre doux 250g,12,OUI,OMG-LYO
FM-000076,18/08/2025,SKU-20015,Jus d'orange 1L,1,OUI,OMG-MAR
FM-001086,15/05/2025,SKU-20014,Epinards surgeles 1kg,7,OUI,OMG-MAR
FM-000145,07/01/2026,SKU-20019,Beurre doux 250g,23,OUI,OMG-MAR
FM-001233,21/08/2025,SKU-20017,Pommes Gala 1kg,1,OUI,OMG-MAR
FM-000383,2025-02-01,SKU-20019,Beurre doux 250g,7,OUI,OMG-MAR
FM-001358,2025-06-13,SKU-20011,Yaourt nature 4x125g,,OUI,OMG-LYO
FM-000589,2026-03-21,SKU-20016,Fromage rape 200g,16,OUI,OMG-LIL
FM-000902,07-03-2026,SKU-20012,Lait demi-ecreme 1L,28,OUI,OMG-MAR
FM-000516,11/12/2025,SKU-20013,Filet de poulet 500g,1,OUI,OMG-MAR
FM-000336,2025-04-13,SKU-20019,Beurre doux 250g,33,OUI,OMG-LIL
FM-000633,30/01/2026,SKU-20012,Lait demi-ecreme 1L,11,OUI,OMG-LYO
FM-001342,2025-05-06,SKU-20012,Lait demi-ecreme 1L,28,OUI,OMG-MAR
FM-000214,08/09/2025,SKU-20018,Pizza surgelee,22,OUI,OMG-LIL
FM-001346,14-05-2025,SKU-20013,Filet de poulet 500g,17,OUI,OMG-LIL
FM-000983,04/06/2025,SKU-20015,Jus d'orange 1L,39,OUI,OMG-LIL
FM-000460,22/04/2026,SKU-20011,Yaourt nature 4x125g,5,OUI,OMG-LYO
FM-000492,13/04/2025,SKU-20014,Epinards surgeles 1kg,31,OUI,OMG-MAR
FM-000348,2025-09-21,SKU-20011,Yaourt nature 4x125g,31,OUI,OMG-LYO
FM-000611,18/05/2025,SKU-20012,Lait demi-ecreme 1L,30,OUI,OMG-LIL
FM-000563,14/04/2026,SKU-20016,Fromage rape 200g,33,OUI,OMG-MAR
FM-001156,2025-07-13,SKU-20017,Pommes Gala 1kg,39,OUI,OMG-LIL
FM-000023,23/05/2026,SKU-20012,Lait demi-ecreme 1L,7,OUI,OMG-MAR
FM-000400,2025-10-01,SKU-20014,Epinards surgeles 1kg,33,OUI,OMG-MAR
FM-000923,10-10-2025,SKU-20014,Epinards surgeles 1kg,28,OUI,OMG-MAR
FM-001072,17-03-2026,SKU-20012,Lait demi-ecreme 1L,24,OUI,OMG-MAR
FM-000638,18/03/2025,SKU-20014,Epinards surgeles 1kg,22,OUI,OMG-LYO
FM-001179,08-07-2025,SKU-20011,Yaourt nature 4x125g,28,OUI,OMG-LYO
FM-000684,21/04/2026,SKU-20015,Jus d'orange 1L,39,OUI,OMG-MAR
FM-000123,12-06-2026,SKU-20013,Filet de poulet 500g,39,OUI,OMG-MAR
FM-000633,2026-01-30,SKU-20018,Pizza surgelee,40,OUI,OMG-LYO
FM-001387,26-05-2026,SKU-20013,Filet de poulet 500g,21,OUI,OMG-MAR
FM-000313,2025-06-15,SKU-20014,Epinards surgeles 1kg,40,OUI,OMG-LYO
FM-000530,2025-08-21,SKU-20016,Fromage rape 200g,13,OUI,OMG-MAR
FM-000749,2026-01-19,SKU-20019,Beurre doux 250g,32,OUI,OMG-LIL
FM-000978,07-09-2025,SKU-20019,Beurre doux 250g,29,OUI,OMG-LYO
FM-000768,20-02-2026,SKU-20017,Pommes Gala 1kg,28,OUI,OMG-MAR
FM-000494,15/10/2025,SKU-20019,Beurre doux 250g,11,OUI,OMG-LIL
FM-001039,14/05/2025,SKU-20018,Pizza surgelee,12,OUI,OMG-LYO
FM-000544,05-03-2025,SKU-20019,Beurre doux 250g,9,OUI,OMG-MAR
FM-001312,23-02-2026,SKU-20019,Beurre doux 250g,22,OUI,OMG-LIL
FM-000658,15/05/2025,SKU-20014,Epinards surgeles 1kg,30,OUI,OMG-LIL
FM-001104,2025-05-08,SKU-20020,Compote pomme 4x100g,19,OUI,OMG-MAR
FM-001065,02-05-2025,SKU-20017,Pommes Gala 1kg,12,OUI,OMG-MAR
FM-001282,2025-02-15,SKU-20016,Fromage rape 200g,2,OUI,OMG-LYO
FM-000003,13/05/2026,SKU-20014,Epinards surgeles 1kg,3,OUI,OMG-LIL
FM-001209,22/05/2025,SKU-20019,Beurre doux 250g,6,OUI,OMG-LYO
FM-000912,04/09/2025,SKU-20018,Pizza surgelee,32,OUI,OMG-MAR
FM-000462,28-06-2026,SKU-20018,Pizza surgelee,28,OUI,OMG-LYO
FM-000020,05-06-2026,SKU-20015,Jus d'orange 1L,26,OUI,OMG-LYO
FM-001143,05/07/2025,SKU-20015,Jus d'orange 1L,13,OUI,OMG-LIL
FM-000705,2025-04-10,SKU-20017,Pommes Gala 1kg,11,OUI,OMG-LIL
FM-000531,29-05-2026,SKU-20015,Jus d'orange 1L,35,OUI,OMG-LYO
FM-001321,2025-10-10,SKU-20020,Compote pomme 4x100g,3,OUI,OMG-LIL
FM-001299,22/01/2026,SKU-20013,Filet de poulet 500g,21,OUI,OMG-MAR
FM-001107,2025-02-12,SKU-20020,Compote pomme 4x100g,17,OUI,OMG-LIL
FM-001003,2025-05-26,SKU-20014,Epinards surgeles 1kg,30,OUI,OMG-LIL
FM-000023,23-05-2026,SKU-20015,Jus d'orange 1L,7,OUI,OMG-MAR
FM-000986,22-05-2025,SKU-20018,Pizza surgelee,34,OUI,OMG-LYO
FM-000766,08-11-2025,SKU-20016,Fromage rape 200g,33,OUI,OMG-LIL
FM-000231,09-03-2025,SKU-20016,Fromage rape 200g,13,OUI,OMG-LIL
FM-000353,18-06-2026,SKU-20011,Yaourt nature 4x125g,1,OUI,OMG-LIL
FM-001168,09/07/2025,SKU-20018,Pizza surgelee,17,OUI,OMG-LIL
FM-000175,2026-05-14,SKU-20019,Beurre doux 250g,32,OUI,OMG-MAR
FM-000037,2026-05-11,SKU-20016,Fromage rape 200g,21,OUI,OMG-LYO
FM-000479,28/03/2025,SKU-20015,Jus d'orange 1L,39,OUI,OMG-LYO
FM-000089,2026-04-16,SKU-20019,Beurre doux 250g,14,OUI,OMG-MAR
FM-000190,27-04-2026,SKU-20013,Filet de poulet 500g,20,OUI,OMG-LIL
FM-000501,23/08/2025,SKU-20011,Yaourt nature 4x125g,,OUI,OMG-LYO
FM-001144,2025-11-26,SKU-20020,Compote pomme 4x100g,9,OUI,OMG-MAR
FM-000456,30/05/2025,SKU-20020,Compote pomme 4x100g,14,OUI,OMG-LIL
FM-000792,09/04/2026,SKU-20020,Compote pomme 4x100g,25,OUI,OMG-LIL
FM-000107,2025-07-15,SKU-20013,Filet de poulet 500g,39,OUI,OMG-LIL
FM-000122,12/05/2026,SKU-20012,Lait demi-ecreme 1L,26,OUI,OMG-LIL
FM-000589,2026-03-21,SKU-20014,Epinards surgeles 1kg,23,OUI,OMG-LIL
FM-000147,2025-04-24,SKU-20012,Lait demi-ecreme 1L,23,OUI,OMG-LIL
FM-000126,21/04/2026,SKU-20013,Filet de poulet 500g,5,OUI,OMG-LYO
FM-001305,20-01-2025,SKU-20019,Beurre doux 250g,17,OUI,OMG-LIL
FM-000658,15-05-2025,SKU-20014,Epinards surgeles 1kg,5,OUI,OMG-LIL
FM-000273,2025-09-10,SKU-20015,Jus d'orange 1L,,OUI,OMG-MAR
FM-000908,2026-03-30,SKU-20015,Jus d'orange 1L,36,OUI,OMG-LIL
FM-000004,2025-07-27,SKU-20018,Pizza surgelee,26,OUI,OMG-LIL
FM-000035,24/03/2026,SKU-20018,Pizza surgelee,26,OUI,OMG-MAR
FM-000776,29/05/2025,SKU-20011,Yaourt nature 4x125g,24,OUI,OMG-LYO
FM-000191,06-11-2025,SKU-20017,Pommes Gala 1kg,18,OUI,OMG-LYO
FM-000165,2025-07-02,SKU-20013,Filet de poulet 500g,33,OUI,OMG-LIL
FM-000062,29-01-2025,SKU-20015,Jus d'orange 1L,21,OUI,OMG-MAR
FM-000441,08/08/2025,SKU-20017,Pommes Gala 1kg,21,OUI,OMG-LYO
FM-000321,02-03-2026,SKU-20019,Beurre doux 250g,10,OUI,OMG-MAR
FM-000451,04-07-2025,SKU-20016,Fromage rape 200g,4,OUI,OMG-LIL
FM-000984,13-01-2026,SKU-20016,Fromage rape 200g,2,OUI,OMG-LIL
FM-000766,08/11/2025,SKU-20017,Pommes Gala 1kg,33,OUI,OMG-LIL
FM-000107,2025-07-15,SKU-20013,Filet de poulet 500g,23,OUI,OMG-LIL
FM-000340,01/05/2025,SKU-20019,Beurre doux 250g,28,OUI,OMG-LYO
FM-000253,2025-10-22,SKU-20013,Filet de poulet 500g,29,OUI,OMG-LIL
FM-000326,2025-03-26,SKU-20014,Epinards surgeles 1kg,17,OUI,OMG-MAR
FM-000076,18/08/2025,SKU-20020,Compote pomme 4x100g,4,OUI,OMG-MAR
FM-001124,23-04-2026,SKU-20011,Yaourt nature 4x125g,17,OUI,OMG-MAR
FM-000331,25-09-2025,SKU-20020,Compote pomme 4x100g,1,OUI,OMG-LIL
FM-001072,17-03-2026,SKU-20013,Filet de poulet 500g,40,OUI,OMG-MAR
FM-001370,07/11/2025,SKU-20013,Filet de poulet 500g,17,OUI,OMG-MAR
FM-001186,02/07/2025,SKU-20014,Epinards surgeles 1kg,30,OUI,OMG-LIL
FM-000771,2026-05-09,SKU-20017,Pommes Gala 1kg,6,OUI,OMG-LIL
FM-001085,10-11-2025,SKU-20013,Filet de poulet 500g,21,OUI,OMG-LIL
FM-000616,05/01/2025,SKU-20012,Lait demi-ecreme 1L,37,OUI,OMG-LIL
FM-000285,18/07/2025,SKU-20011,Yaourt nature 4x125g,7,OUI,OMG-MAR
FM-000583,08/11/2025,SKU-20017,Pommes Gala 1kg,4,OUI,OMG-LIL
FM-000923,10/10/2025,SKU-20011,Yaourt nature 4x125g,38,OUI,OMG-MAR
FM-001257,15/04/2025,SKU-20017,Pommes Gala 1kg,3,OUI,OMG-LYO
FM-000986,22-05-2025,SKU-20017,Pommes Gala 1kg,37,OUI,OMG-LYO
FM-000512,12-03-2025,SKU-20019,Beurre doux 250g,40,OUI,OMG-LYO
FM-000142,08-06-2026,SKU-20020,Compote pomme 4x100g,20,OUI,OMG-LIL
FM-000194,29-01-2026,SKU-20019,Beurre doux 250g,3,OUI,OMG-MAR
FM-000148,26/03/2025,SKU-20014,Epinards surgeles 1kg,15,OUI,OMG-LYO
FM-000675,2025-06-12,SKU-20015,Jus d'orange 1L,1,OUI,OMG-MAR
FM-000059,08/09/2025,SKU-20012,Lait demi-ecreme 1L,15,OUI,OMG-MAR
FM-001209,22/05/2025,SKU-20011,Yaourt nature 4x125g,18,OUI,OMG-LYO
FM-000226,11/02/2026,SKU-20013,Filet de poulet 500g,18,OUI,OMG-LIL
FM-001398,14/05/2025,SKU-20015,Jus d'orange 1L,28,OUI,OMG-LIL
FM-000025,30/07/2026,SKU-20019,Beurre doux 250g,1,OUI,OMG-LYO
FM-000145,2026-01-07,SKU-20019,Beurre doux 250g,22,OUI,OMG-MAR
FM-000904,2026-06-10,SKU-20020,Compote pomme 4x100g,24,OUI,OMG-MAR
FM-000114,27-04-2025,SKU-20014,Epinards surgeles 1kg,20,OUI,OMG-LYO
FM-000041,2025-07-15,SKU-20011,Yaourt nature 4x125g,2,OUI,OMG-LIL
FM-001358,2025-06-13,SKU-20020,Compote pomme 4x100g,39,OUI,OMG-LYO
FM-001041,14-04-2026,SKU-20019,Beurre doux 250g,25,OUI,OMG-LYO
FM-000920,25/06/2026,SKU-20012,Lait demi-ecreme 1L,12,OUI,OMG-MAR
FM-000193,23-02-2025,SKU-20018,Pizza surgelee,9,OUI,OMG-MAR
FM-000128,21/03/2026,SKU-20015,Jus d'orange 1L,26,OUI,OMG-MAR
FM-001366,2025-10-03,SKU-20019,Beurre doux 250g,16,OUI,OMG-LYO
FM-001094,24-04-2025,SKU-20018,Pizza surgelee,21,OUI,OMG-MAR
FM-000446,06/02/2026,SKU-20019,Beurre doux 250g,38,OUI,OMG-LIL
FM-000132,2025-06-13,SKU-20018,Pizza surgelee,35,OUI,OMG-MAR
FM-000239,2026-03-08,SKU-20012,Lait demi-ecreme 1L,30,OUI,OMG-LIL
FM-000810,09-12-2025,SKU-20011,Yaourt nature 4x125g,,OUI,OMG-LYO
FM-000371,30-05-2025,SKU-20017,Pommes Gala 1kg,29,OUI,OMG-LYO
FM-001361,2025-04-18,SKU-20018,Pizza surgelee,23,OUI,OMG-MAR
FM-000389,2025-05-15,SKU-20012,Lait demi-ecreme 1L,39,OUI,OMG-LIL
FM-000591,05-03-2025,SKU-20012,Lait demi-ecreme 1L,24,OUI,OMG-LIL
FM-000207,19-06-2025,SKU-20014,Epinards surgeles 1kg,20,OUI,OMG-MAR
FM-000831,2025-07-02,SKU-20018,Pizza surgelee,40,OUI,OMG-LYO
FM-000802,19/06/2026,SKU-20015,Jus d'orange 1L,11,OUI,OMG-LIL
FM-000771,09/05/2026,SKU-20012,Lait demi-ecreme 1L,18,OUI,OMG-LIL
FM-000866,2026-05-14,SKU-20013,Filet de poulet 500g,2,OUI,OMG-LYO
FM-000039,22/11/2025,SKU-20018,Pizza surgelee,15,OUI,OMG-LIL
FM-000239,08-03-2026,SKU-20012,Lait demi-ecreme 1L,9,OUI,OMG-LIL
FM-000960,28/03/2025,SKU-20018,Pizza surgelee,14,OUI,OMG-MAR
FM-000632,11/04/2026,SKU-20011,Yaourt nature 4x125g,40,OUI,OMG-LIL
FM-000571,2025-01-17,SKU-20018,Pizza surgelee,2,OUI,OMG-LIL
FM-000179,23-12-2025,SKU-20011,Yaourt nature 4x125g,6,OUI,OMG-LIL
FM-000795,13/03/2026,SKU-20019,Beurre doux 250g,14,OUI,OMG-LYO
FM-000185,2025-10-04,SKU-20017,Pommes Gala 1kg,12,OUI,OMG-LYO
FM-000486,2025-03-28,SKU-20020,Compote pomme 4x100g,3,OUI,OMG-LYO
FM-000120,07-11-2025,SKU-20016,Fromage rape 200g,12,OUI,OMG-LIL
FM-001089,30/08/2025,SKU-20020,Compote pomme 4x100g,9,OUI,OMG-MAR
FM-000190,27-04-2026,SKU-20017,Pommes Gala 1kg,39,OUI,OMG-LIL
FM-000209,20-04-2026,SKU-20014,Epinards surgeles 1kg,14,OUI,OMG-MAR
FM-000494,2025-10-15,SKU-20016,Fromage rape 200g,29,OUI,OMG-LIL
FM-001321,10-10-2025,SKU-20018,Pizza surgelee,9,OUI,OMG-LIL
FM-000350,2026-03-07,SKU-20014,Epinards surgeles 1kg,32,OUI,OMG-LYO
FM-001358,2025-06-13,SKU-20015,Jus d'orange 1L,38,OUI,OMG-LYO
FM-000129,13/06/2026,SKU-20013,Filet de poulet 500g,9,OUI,OMG-LIL
FM-000602,12-06-2026,SKU-20012,Lait demi-ecreme 1L,21,OUI,OMG-LIL
FM-000564,12/04/2026,SKU-20011,Yaourt nature 4x125g,33,OUI,OMG-MAR
FM-001042,06-10-2025,SKU-20016,Fromage rape 200g,34,OUI,OMG-LYO
FM-001265,16/06/2026,SKU-20014,Epinards surgeles 1kg,7,OUI,OMG-LYO
FM-000212,05/08/2025,SKU-20011,Yaourt nature 4x125g,6,OUI,OMG-MAR
FM-000655,10/04/2026,SKU-20014,Epinards surgeles 1kg,16,OUI,OMG-LYO
