id,client,entrepot,categorie_produit,date_expedition,poids_kg,delai_livraison_jours,cout_transport_eur,statut
8038,NordDrive,Lille,Pieces auto,2022-04-15,22.97,2,53.3,Livree
8039,NordDrive,Lyon,Pieces auto,2026-07-24,18.29,1,61.85,Livree
8040,MedioTex,Marseille,Textile,2025-08-10,31.27,2,66.53,Livree
8041,NordDrive,Lille,Pieces auto,2024-11-10,29.82,2,58.65,Livree
8042,FreshMarket,Marseille,Alimentaire,2025-01-11,3.0,2,52.9,Livree
8043,MedioTex,Lyon,Textile,2022-09-13,33.75,1,82.37,Livree
8044,MedioTex,Lille,Textile,2024-02-02,39.36,3,82.29,Livree
8045,MedioTex,Lille,Textile,2026-05-02,13.64,1,46.75,Livree
8046,MedioTex,Marseille,Textile,2023-01-14,26.37,1,52.11,Livree
8047,FreshMarket,Marseille,Alimentaire,2025-02-07,36.89,1,36.68,Retardee
8048,FreshMarket,Lille,Alimentaire,2022-11-25,16.51,3,50.53,Livree
8049,MedioTex,Lille,Textile,2024-05-31,40.61,3,53.9,Retardee
8050,NordDrive,Lille,Pieces auto,2023-04-18,9.97,1,11.74,Livree
8051,NordDrive,Lyon,Pieces auto,2026-05-15,10.6,4,46.46,Livree
8052,NordDrive,Lyon,Pieces auto,2025-10-06,3.5,3,28.46,Livree
8053,FreshMarket,Marseille,Alimentaire,2026-03-04,25.11,3,62.83,Livree
8054,FreshMarket,Lyon,Alimentaire,2023-10-18,12.73,1,14.65,Livree
8055,FreshMarket,Lyon,Alimentaire,2022-06-26,22.1,1,76.52,Livree
8056,NordDrive,Marseille,Pieces auto,2026-07-18,21.13,4,70.38,Livree
8057,NordDrive,Marseille,Pieces auto,2023-11-24,24.87,4,86.48,Retardee
8058,MedioTex,Lille,Textile,2022-01-19,24.13,3,29.46,Livree
8059,NordDrive,Lyon,Pieces auto,2025-03-19,30.23,1,61.9,Livree
8060,MedioTex,Marseille,Textile,2025-06-28,12.73,2,68.58,Livree
8061,FreshMarket,Marseille,Alimentaire,2022-09-10,22.09,1,65.49,Livree
8062,NordDrive,Lyon,Pieces auto,2022-12-20,26.59,1,52.25,Livree
8063,NordDrive,Marseille,Pieces auto,2024-02-08,21.08,3,42.25,Livree
8064,NordDrive,Lille,Pieces auto,2022-09-16,24.97,2,50.73,Livree
8065,MedioTex,Lille,Textile,2026-07-22,30.62,2,65.46,Livree
8066,FreshMarket,Lyon,Alimentaire,2023-11-06,23.18,3,34.72,Livree
8067,NordDrive,Marseille,Pieces auto,2024-11-15,43.29,2,34.73,Livree
8068,MedioTex,Marseille,Textile,2026-02-17,40.12,3,74.76,Livree
8069,NordDrive,Lyon,Pieces auto,2023-05-14,7.88,1,59.97,Livree
8070,FreshMarket,Lyon,Alimentaire,2023-02-09,6.7,4,84.72,Livree
8071,MedioTex,Lyon,Textile,2026-04-28,37.65,1,47.53,Retardee
8072,MedioTex,Marseille,Textile,2025-04-27,34.75,2,52.61,Livree
8073,MedioTex,Lyon,Textile,2025-09-02,16.52,1,61.83,Livree
8074,MedioTex,Marseille,Textile,2024-10-10,28.66,1,16.34,Livree
8075,FreshMarket,Marseille,Alimentaire,2023-04-08,3.47,1,29.31,Livree
8076,MedioTex,Marseille,Textile,2023-02-25,21.46,3,13.9,Livree
8077,NordDrive,Lyon,Pieces auto,2024-05-24,15.57,3,14.28,Livree
8078,MedioTex,Lyon,Textile,2025-10-12,39.69,2,74.46,Livree
8079,MedioTex,Lyon,Textile,2022-06-11,7.04,2,84.95,Livree
8080,MedioTex,Marseille,Textile,2025-02-24,43.61,2,71.8,Livree
8081,NordDrive,Marseille,Pieces auto,2024-09-21,23.99,1,18.57,Livree
8082,MedioTex,Lille,Textile,2026-06-28,34.28,1,38.02,Livree
8083,MedioTex,Lille,Textile,2022-03-16,26.14,1,62.25,Livree
8084,FreshMarket,Lille,Alimentaire,2025-04-12,22.18,1,43.4,Retardee
8085,FreshMarket,Marseille,Alimentaire,2024-01-06,22.49,4,42.31,Livree
8086,FreshMarket,Lille,Alimentaire,2024-03-03,29.91,2,39.0,Livree
8087,FreshMarket,Lyon,Alimentaire,2023-11-14,44.03,3,66.53,Livree
8088,MedioTex,Lyon,Textile,2022-11-28,9.31,2,35.94,Livree
8089,NordDrive,Lyon,Pieces auto,2022-07-15,44.86,2,45.83,Incident
8090,FreshMarket,Marseille,Alimentaire,2023-11-01,5.45,6,37.89,Livree
8091,MedioTex,Lille,Textile,2022-03-01,20.46,3,63.35,Livree
8092,MedioTex,Lyon,Textile,2022-12-14,19.14,3,60.1,Livree
8093,MedioTex,Marseille,Textile,2026-04-12,34.15,1,67.87,Livree
8094,MedioTex,Marseille,Textile,2024-07-15,43.93,4,23.62,Livree
8095,NordDrive,Marseille,Pieces auto,2022-09-17,29.5,2,8.28,Livree
8096,MedioTex,Marseille,Textile,2025-07-17,31.02,5,85.86,Incident
8097,MedioTex,Lille,Textile,2025-10-03,42.18,1,47.71,Livree
8098,NordDrive,Lyon,Pieces auto,2024-10-10,36.52,3,30.55,Retardee
8099,NordDrive,Lyon,Pieces auto,2024-11-12,44.86,3,55.95,Retardee
8100,FreshMarket,Lille,Alimentaire,2026-07-25,22.33,2,72.88,Livree
8101,NordDrive,Lille,Pieces auto,2026-07-02,19.84,3,46.19,Livree
8102,NordDrive,Marseille,Pieces auto,2024-03-16,20.12,1,14.93,Livree
8103,NordDrive,Lille,Pieces auto,2025-01-04,43.0,1,42.31,Livree
8104,MedioTex,Lyon,Textile,2025-04-27,25.35,2,36.45,Livree
8105,MedioTex,Lyon,Textile,2024-07-12,40.13,3,69.35,Livree
8106,NordDrive,Lille,Pieces auto,2025-03-26,17.51,3,39.05,Livree
8107,FreshMarket,Lyon,Alimentaire,2025-09-30,10.47,2,62.71,Livree
8108,FreshMarket,Lille,Alimentaire,2024-02-01,10.33,2,45.45,Livree
8109,FreshMarket,Marseille,Alimentaire,2025-02-15,11.13,5,80.32,Livree
8110,MedioTex,Lille,Textile,2023-07-28,31.92,3,12.97,Livree
8111,MedioTex,Lyon,Textile,2023-09-01,16.79,1,31.88,Livree
8112,NordDrive,Lille,Pieces auto,2023-11-16,44.58,1,19.92,Livree
8113,MedioTex,Lille,Textile,2025-09-21,41.65,2,15.54,Livree
8114,NordDrive,Lille,Pieces auto,2026-04-12,4.83,1,33.76,Livree
8115,NordDrive,Marseille,Pieces auto,2024-03-06,17.25,5,90.56,Retardee
8116,NordDrive,Lyon,Pieces auto,2025-01-22,34.13,1,62.57,Livree
8117,MedioTex,Lille,Textile,2025-01-17,7.61,1,59.81,Livree
8118,FreshMarket,Marseille,Alimentaire,2022-01-23,5.29,2,68.78,Livree
8119,MedioTex,Lille,Textile,2022-04-01,10.45,1,81.26,Retardee
8120,MedioTex,Lyon,Textile,2022-11-11,30.87,3,11.51,Livree
8121,FreshMarket,Lille,Alimentaire,2022-05-14,21.21,1,33.78,Livree
8122,NordDrive,Lille,Pieces auto,2023-06-04,2.92,1,65.8,Livree
8123,NordDrive,Lille,Pieces auto,2023-10-30,7.12,2,58.11,Livree
8124,FreshMarket,Marseille,Alimentaire,2023-04-24,25.0,3,63.3,Incident
8125,NordDrive,Marseille,Pieces auto,2025-12-25,1.37,2,13.07,Livree
8126,MedioTex,Marseille,Textile,2023-12-19,4.26,2,22.88,Livree
8127,MedioTex,Marseille,Textile,2023-11-01,9.82,4,31.49,Livree
8128,NordDrive,Lyon,Pieces auto,2025-06-24,0.68,2,76.2,Livree
8129,MedioTex,Lyon,Textile,2026-02-11,11.94,2,56.79,Livree
8130,MedioTex,Lyon,Textile,2023-11-22,21.51,3,78.46,Livree
8131,FreshMarket,Lyon,Alimentaire,2026-05-28,15.72,5,89.08,Livree
8132,FreshMarket,Lyon,Alimentaire,2024-08-18,25.35,2,84.16,Livree
8133,FreshMarket,Marseille,Alimentaire,2022-12-05,27.32,3,36.96,Retardee
8134,MedioTex,Lille,Textile,2026-03-25,5.6,2,53.28,Livree
8135,NordDrive,Lyon,Pieces auto,2024-08-06,19.73,2,68.56,Livree
8136,NordDrive,Marseille,Pieces auto,2025-05-11,43.77,1,78.49,Retardee
8137,NordDrive,Lyon,Pieces auto,2025-10-18,16.12,3,21.55,Livree
8138,NordDrive,Lyon,Pieces auto,2023-07-07,38.75,3,63.78,Livree
8139,NordDrive,Lyon,Pieces auto,2025-03-24,12.89,2,22.51,Livree
8140,MedioTex,Lyon,Textile,2023-05-10,14.86,1,84.73,Livree
8141,MedioTex,Lyon,Textile,2025-06-04,31.37,3,87.48,Livree
8142,MedioTex,Lyon,Textile,2026-02-07,9.03,1,38.23,Livree
8143,NordDrive,Lille,Pieces auto,2022-10-14,26.6,1,52.24,Livree
8144,MedioTex,Lille,Textile,2026-07-19,20.46,4,65.15,Retardee
8145,FreshMarket,Lille,Alimentaire,2025-03-01,28.79,2,31.55,Livree
8146,MedioTex,Lyon,Textile,2022-03-02,27.08,1,54.4,Livree
8147,NordDrive,Lille,Pieces auto,2024-09-18,9.84,3,34.71,Livree
8148,FreshMarket,Marseille,Alimentaire,2025-04-06,42.15,2,62.3,Livree
8149,MedioTex,Lyon,Textile,2026-07-13,4.26,1,35.17,Livree
8150,MedioTex,Lille,Textile,2025-11-14,7.32,4,23.19,Livree
8151,NordDrive,Marseille,Pieces auto,2024-10-05,3.76,1,33.04,Livree
8152,FreshMarket,Lille,Alimentaire,2022-08-08,32.82,1,54.38,Livree
8153,NordDrive,Lyon,Pieces auto,2024-08-04,37.22,1,70.4,Livree
8154,FreshMarket,Lyon,Alimentaire,2024-10-04,7.13,2,60.22,Livree
8155,FreshMarket,Lyon,Alimentaire,2024-09-06,30.46,1,9.35,Retardee
8156,MedioTex,Marseille,Textile,2022-03-26,19.57,2,36.16,Livree
8157,FreshMarket,Lyon,Alimentaire,2024-10-08,7.1,2,36.59,Livree
8158,FreshMarket,Lille,Alimentaire,2024-05-24,37.76,1,48.12,Retardee
8159,NordDrive,Marseille,Pieces auto,2022-12-02,30.36,1,45.51,Retardee
8160,FreshMarket,Lille,Alimentaire,2024-04-29,31.31,2,28.62,Livree
8161,NordDrive,Lille,Pieces auto,2025-12-25,21.73,1,61.83,Livree
8162,NordDrive,Marseille,Pieces auto,2025-10-17,24.56,3,60.38,Livree
8163,NordDrive,Lyon,Pieces auto,2023-03-01,11.41,2,70.74,Livree
8164,MedioTex,Marseille,Textile,2022-03-24,13.77,1,9.38,Livree
8165,NordDrive,Marseille,Pieces auto,2024-07-18,9.33,2,11.24,Livree
8166,NordDrive,Marseille,Pieces auto,2022-05-19,14.7,2,10.4,Retardee
8167,MedioTex,Lille,Textile,2026-03-09,42.58,2,68.43,Livree
8168,FreshMarket,Lyon,Alimentaire,2023-04-05,37.58,1,14.42,Livree
8169,MedioTex,Marseille,Textile,2023-03-30,43.64,1,24.58,Livree
8170,MedioTex,Lyon,Textile,2025-10-24,9.63,1,82.09,Livree
8171,FreshMarket,Lille,Alimentaire,2024-10-27,28.82,1,58.93,Livree
8172,MedioTex,Lille,Textile,2024-03-08,15.68,1,53.72,Livree
8173,NordDrive,Lille,Pieces auto,2022-06-27,17.85,2,22.71,Livree
8174,NordDrive,Lille,Pieces auto,2023-12-14,24.36,1,84.97,Livree
8175,MedioTex,Lyon,Textile,2022-11-30,2.7,4,16.4,Livree
8176,MedioTex,Lyon,Textile,2026-04-10,4.36,2,72.51,Livree
8177,NordDrive,Lyon,Pieces auto,2023-02-03,21.71,2,66.64,Livree
8178,FreshMarket,Lyon,Alimentaire,2024-08-29,5.5,1,32.66,Retardee
8179,NordDrive,Marseille,Pieces auto,2023-03-10,27.07,2,84.54,Livree
8180,FreshMarket,Lyon,Alimentaire,2024-07-18,39.0,2,35.1,Livree
8181,MedioTex,Marseille,Textile,2022-08-30,25.3,4,69.34,Livree
8182,NordDrive,Lyon,Pieces auto,2024-11-20,12.18,4,81.12,Livree
8183,NordDrive,Marseille,Pieces auto,2022-11-16,32.4,1,54.62,Livree
8184,FreshMarket,Lyon,Alimentaire,2024-09-17,35.35,3,50.63,Livree
8185,NordDrive,Lyon,Pieces auto,2026-03-16,20.77,3,54.77,Livree
8186,FreshMarket,Lille,Alimentaire,2023-04-04,8.78,1,86.04,Livree
8187,MedioTex,Lille,Textile,2025-07-28,1.49,1,19.42,Incident
8188,MedioTex,Marseille,Textile,2026-07-21,8.47,3,63.15,Livree
8189,FreshMarket,Marseille,Alimentaire,2023-12-19,19.31,2,47.18,Livree
8190,FreshMarket,Lyon,Alimentaire,2026-01-11,35.07,4,90.05,Livree
8191,NordDrive,Marseille,Pieces auto,2026-02-16,3.95,2,65.12,Livree
8192,FreshMarket,Marseille,Alimentaire,2025-01-15,31.22,4,16.55,Livree
8193,MedioTex,Lille,Textile,2024-12-16,14.89,1,16.31,Livree
8194,FreshMarket,Marseille,Alimentaire,2024-12-04,25.62,1,78.84,Retardee
8195,NordDrive,Marseille,Pieces auto,2024-02-09,2.96,1,39.56,Livree
8196,NordDrive,Lille,Pieces auto,2025-05-21,23.77,1,61.23,Livree
8197,MedioTex,Lille,Textile,2025-08-08,12.89,2,76.39,Livree
8198,MedioTex,Marseille,Textile,2025-05-11,9.01,1,75.83,Livree
8199,FreshMarket,Lille,Alimentaire,2024-11-13,40.23,5,79.92,Incident
8200,MedioTex,Marseille,Textile,2023-08-26,12.54,1,67.54,Livree
8201,NordDrive,Marseille,Pieces auto,2024-10-07,5.81,2,29.61,Livree
8202,FreshMarket,Lyon,Alimentaire,2023-06-06,23.59,3,88.84,Retardee
8203,NordDrive,Lyon,Pieces auto,2022-10-08,10.0,3,54.37,Livree
8204,MedioTex,Marseille,Textile,2023-05-22,31.0,3,75.87,Retardee
8205,FreshMarket,Marseille,Alimentaire,2024-12-13,6.07,3,58.1,Retardee
8206,NordDrive,Lyon,Pieces auto,2026-07-02,1.85,1,8.78,Livree
8207,NordDrive,Lyon,Pieces auto,2025-11-06,0.61,2,43.78,Livree
8208,NordDrive,Lyon,Pieces auto,2022-08-17,30.11,3,19.1,Livree
8209,MedioTex,Marseille,Textile,2024-08-01,42.77,3,68.23,Livree
8210,NordDrive,Lille,Pieces auto,2025-04-16,11.06,1,30.08,Livree
8211,NordDrive,Marseille,Pieces auto,2022-09-29,14.28,1,28.12,Livree
8212,FreshMarket,Lyon,Alimentaire,2025-07-16,22.61,2,79.86,Livree
8213,NordDrive,Lille,Pieces auto,2022-12-17,41.83,4,53.1,Livree
8214,NordDrive,Lyon,Pieces auto,2026-03-05,40.52,1,63.11,Retardee
8215,MedioTex,Lille,Textile,2023-12-26,33.42,3,15.13,Livree
8216,NordDrive,Lyon,Pieces auto,2025-02-06,9.01,3,24.5,Livree
8217,NordDrive,Marseille,Pieces auto,2022-10-12,27.37,3,75.99,Livree
8218,NordDrive,Marseille,Pieces auto,2022-06-11,34.81,3,85.74,Livree
8219,NordDrive,Lyon,Pieces auto,2026-05-12,6.48,2,17.4,Livree
8220,MedioTex,Lille,Textile,2025-05-06,41.67,2,65.8,Livree
8221,MedioTex,Marseille,Textile,2025-02-08,42.35,3,77.48,Retardee
8222,MedioTex,Lyon,Textile,2025-06-07,36.46,3,75.28,Livree
8223,NordDrive,Lyon,Pieces auto,2023-07-13,2.09,1,55.54,Livree
8224,MedioTex,Lyon,Textile,2022-07-28,29.31,1,46.21,Livree
8225,FreshMarket,Marseille,Alimentaire,2022-12-21,13.56,4,48.33,Livree
8226,MedioTex,Marseille,Textile,2024-03-17,22.91,1,84.77,Retardee
8227,NordDrive,Lille,Pieces auto,2023-11-03,16.02,1,29.82,Livree
8228,FreshMarket,Marseille,Alimentaire,2023-05-13,19.08,1,8.7,Retardee
8229,NordDrive,Marseille,Pieces auto,2024-11-30,42.32,1,62.6,Livree
8230,FreshMarket,Lyon,Alimentaire,2022-06-10,0.71,1,70.04,Livree
8231,MedioTex,Lille,Textile,2026-07-12,25.76,4,30.61,Livree
8232,FreshMarket,Marseille,Alimentaire,2022-04-27,12.53,2,45.56,Livree
8233,FreshMarket,Lille,Alimentaire,2023-11-20,42.47,3,52.58,Livree
8234,FreshMarket,Marseille,Alimentaire,2023-11-12,27.59,6,11.55,Livree
8235,FreshMarket,Lille,Alimentaire,2026-07-03,12.42,2,37.74,Livree
8236,FreshMarket,Marseille,Alimentaire,2026-04-16,1.08,1,44.26,Livree
8237,MedioTex,Lille,Textile,2025-08-14,13.39,2,18.8,Livree
8238,MedioTex,Lyon,Textile,2025-11-07,29.24,4,13.88,Livree
8239,FreshMarket,Lyon,Alimentaire,2022-05-17,42.5,2,17.49,Livree
8240,MedioTex,Lille,Textile,2022-09-15,16.89,1,58.29,Retardee
8241,MedioTex,Marseille,Textile,2025-11-05,4.02,1,56.42,Retardee
8242,FreshMarket,Lyon,Alimentaire,2023-05-26,7.3,3,29.79,Livree
8243,MedioTex,Lille,Textile,2023-10-23,35.17,3,20.24,Retardee
8244,NordDrive,Marseille,Pieces auto,2025-05-03,27.39,2,67.92,Livree
8245,NordDrive,Lyon,Pieces auto,2023-02-21,18.19,2,53.38,Retardee
8246,MedioTex,Lyon,Textile,2026-03-14,0.88,3,13.35,Retardee
8247,NordDrive,Lille,Pieces auto,2022-10-20,27.95,2,40.65,Livree
8248,FreshMarket,Lyon,Alimentaire,2024-04-10,28.35,1,31.45,Livree
8249,MedioTex,Lille,Textile,2023-12-23,3.66,5,77.18,Livree
8250,NordDrive,Marseille,Pieces auto,2025-04-12,14.12,2,67.28,Retardee
8251,MedioTex,Marseille,Textile,2022-12-21,36.46,5,81.94,Retardee
8252,MedioTex,Lyon,Textile,2025-06-02,8.52,2,73.75,Livree
8253,MedioTex,Lyon,Textile,2023-04-07,4.91,2,25.0,Incident
8254,NordDrive,Marseille,Pieces auto,2024-07-12,8.11,3,19.01,Livree
8255,FreshMarket,Lille,Alimentaire,2023-07-25,16.72,3,63.98,Livree
8256,NordDrive,Lyon,Pieces auto,2022-11-05,0.29,2,27.12,Livree
8257,NordDrive,Lille,Pieces auto,2026-01-29,43.48,1,57.56,Livree
8258,FreshMarket,Lyon,Alimentaire,2023-05-15,1.86,4,49.16,Livree
8259,NordDrive,Marseille,Pieces auto,2022-01-26,14.44,1,20.73,Retardee
8260,FreshMarket,Marseille,Alimentaire,2023-03-10,13.96,1,81.77,Livree
8261,MedioTex,Lyon,Textile,2024-05-30,29.44,1,64.62,Livree
8262,MedioTex,Marseille,Textile,2026-05-25,32.63,3,30.81,Livree
8263,MedioTex,Lyon,Textile,2025-10-29,19.4,1,72.95,Livree
8264,NordDrive,Lille,Pieces auto,2026-03-08,36.71,2,21.02,Livree
8265,NordDrive,Lille,Pieces auto,2023-10-15,18.55,1,78.66,Livree
8266,MedioTex,Marseille,Textile,2024-02-29,16.62,1,7.52,Retardee
8267,FreshMarket,Marseille,Alimentaire,2025-08-15,43.59,3,85.32,Livree
8268,FreshMarket,Lille,Alimentaire,2025-04-01,43.97,1,14.73,Livree
8269,NordDrive,Lille,Pieces auto,2023-09-07,31.44,2,77.22,Livree
8270,MedioTex,Lyon,Textile,2022-01-03,24.61,1,55.84,Livree
8271,FreshMarket,Lille,Alimentaire,2023-08-19,34.01,1,26.02,Livree
8272,MedioTex,Marseille,Textile,2026-06-03,41.98,3,88.81,Livree
8273,FreshMarket,Lyon,Alimentaire,2023-06-20,44.77,2,84.59,Livree
8274,NordDrive,Lille,Pieces auto,2024-01-21,12.47,3,90.24,Livree
8275,MedioTex,Lille,Textile,2022-01-02,38.29,4,73.03,Livree
8276,NordDrive,Lille,Pieces auto,2025-03-21,41.87,1,77.64,Livree
8277,MedioTex,Marseille,Textile,2025-01-01,10.95,1,56.0,Livree
8278,NordDrive,Lille,Pieces auto,2023-11-05,22.02,2,25.31,Livree
8279,FreshMarket,Lille,Alimentaire,2026-04-15,17.51,1,61.68,Livree
8280,FreshMarket,Lille,Alimentaire,2022-12-17,26.88,1,80.93,Livree
8281,NordDrive,Lyon,Pieces auto,2022-07-07,4.0,2,12.76,Incident
8282,MedioTex,Lyon,Textile,2025-07-07,18.55,1,39.16,Livree
8283,NordDrive,Lyon,Pieces auto,2023-06-10,5.28,2,63.34,Livree
8284,MedioTex,Marseille,Textile,2026-07-09,11.18,1,85.95,Livree
8285,NordDrive,Lyon,Pieces auto,2022-06-29,0.47,4,40.39,Incident
8286,FreshMarket,Marseille,Alimentaire,2026-01-11,5.35,3,25.77,Livree
8287,FreshMarket,Lille,Alimentaire,2024-12-31,41.44,3,17.45,Livree
8288,MedioTex,Lyon,Textile,2025-08-02,2.12,3,45.76,Retardee
8289,NordDrive,Lyon,Pieces auto,2026-01-26,16.1,1,12.14,Livree
8290,MedioTex,Lille,Textile,2022-04-26,24.7,1,29.72,Livree
8291,FreshMarket,Lyon,Alimentaire,2024-03-13,38.71,1,20.83,Livree
8292,NordDrive,Lille,Pieces auto,2026-04-30,10.12,1,21.66,Livree
8293,FreshMarket,Marseille,Alimentaire,2025-02-23,28.36,2,39.45,Livree
8294,NordDrive,Lyon,Pieces auto,2023-04-12,4.55,1,43.34,Livree
8295,FreshMarket,Lille,Alimentaire,2025-09-18,11.94,3,13.12,Livree
8296,NordDrive,Lille,Pieces auto,2024-12-23,41.94,3,60.33,Livree
8297,NordDrive,Lille,Pieces auto,2024-08-08,7.77,4,85.23,Livree
8298,FreshMarket,Lyon,Alimentaire,2026-01-23,3.61,3,49.13,Livree
8299,MedioTex,Lille,Textile,2023-09-24,29.2,4,59.06,Livree
8300,FreshMarket,Lille,Alimentaire,2025-06-26,13.53,1,75.06,Livree
8301,FreshMarket,Lille,Alimentaire,2024-11-11,21.7,2,72.64,Livree
8302,FreshMarket,Lyon,Alimentaire,2026-03-17,12.38,3,88.52,Incident
8303,NordDrive,Marseille,Pieces auto,2023-09-22,21.47,3,13.96,Incident
8304,FreshMarket,Lille,Alimentaire,2026-02-03,7.21,1,85.23,Livree
8305,FreshMarket,Lyon,Alimentaire,2023-09-06,6.07,1,9.43,Livree
8306,NordDrive,Marseille,Pieces auto,2024-06-03,18.5,2,66.98,Livree
8307,FreshMarket,Lille,Alimentaire,2023-04-27,5.87,1,65.4,Livree
8308,FreshMarket,Lille,Alimentaire,2024-03-12,38.25,2,65.18,Livree
8309,NordDrive,Lille,Pieces auto,2022-03-20,4.95,1,73.83,Livree
8310,NordDrive,Lyon,Pieces auto,2022-11-03,32.05,2,44.46,Livree
8311,MedioTex,Lyon,Textile,2023-08-12,23.38,1,7.84,Livree
8312,MedioTex,Lille,Textile,2025-01-18,25.36,2,63.09,Livree
8313,FreshMarket,Marseille,Alimentaire,2023-05-11,26.35,2,13.65,Livree
8314,MedioTex,Marseille,Textile,2023-12-02,16.49,2,48.92,Livree
8315,NordDrive,Lyon,Pieces auto,2024-01-19,22.92,3,65.38,Livree
8316,NordDrive,Marseille,Pieces auto,2024-10-15,12.79,1,56.57,Livree
8317,MedioTex,Lille,Textile,2022-06-01,2.82,2,59.88,Livree
8318,MedioTex,Lyon,Textile,2022-11-20,28.29,2,57.72,Retardee
8319,NordDrive,Marseille,Pieces auto,2025-04-18,16.68,2,23.04,Livree
8320,FreshMarket,Lyon,Alimentaire,2024-04-01,5.88,2,77.08,Livree
8321,NordDrive,Lyon,Pieces auto,2024-04-14,38.22,1,72.27,Livree
8322,MedioTex,Lyon,Textile,2022-11-25,5.3,1,80.11,Livree
8323,NordDrive,Lyon,Pieces auto,2023-09-05,36.02,3,74.2,Livree
8324,NordDrive,Lille,Pieces auto,2026-01-29,30.54,3,87.43,Livree
8325,NordDrive,Lille,Pieces auto,2024-02-12,38.8,2,82.99,Livree
8326,FreshMarket,Lille,Alimentaire,2024-10-01,37.06,1,44.31,Livree
8327,MedioTex,Marseille,Textile,2025-08-02,25.34,1,43.13,Retardee
8328,NordDrive,Marseille,Pieces auto,2023-01-19,19.33,1,42.19,Livree
8329,MedioTex,Lille,Textile,2023-02-03,39.34,3,60.91,Livree
8330,MedioTex,Lyon,Textile,2026-05-23,29.64,3,79.94,Livree
8331,MedioTex,Lyon,Textile,2026-06-06,14.56,1,39.9,Livree
8332,FreshMarket,Lyon,Alimentaire,2025-07-15,11.73,3,80.93,Livree
8333,NordDrive,Lille,Pieces auto,2024-11-05,26.55,1,42.7,Incident
8334,MedioTex,Lille,Textile,2022-12-26,5.29,3,55.43,Livree
8335,FreshMarket,Marseille,Alimentaire,2023-01-07,25.06,1,65.82,Livree
8336,FreshMarket,Marseille,Alimentaire,2025-11-03,23.6,4,39.9,Livree
8337,NordDrive,Lille,Pieces auto,2024-11-24,3.05,1,65.39,Retardee
8338,NordDrive,Lyon,Pieces auto,2026-01-26,37.74,2,40.45,Livree
8339,MedioTex,Marseille,Textile,2026-04-06,31.91,2,64.89,Livree
8340,FreshMarket,Lyon,Alimentaire,2025-10-20,28.84,1,85.73,Livree
8341,NordDrive,Lyon,Pieces auto,2025-09-18,15.92,1,29.42,Livree
8342,FreshMarket,Lille,Alimentaire,2022-05-18,2.81,2,81.24,Livree
8343,NordDrive,Marseille,Pieces auto,2025-10-06,14.85,3,75.72,Livree
8344,NordDrive,Marseille,Pieces auto,2022-06-22,10.81,5,42.61,Livree
8345,MedioTex,Lyon,Textile,2024-04-16,13.31,2,68.43,Livree
8346,NordDrive,Lyon,Pieces auto,2026-01-15,2.14,2,87.51,Livree
8347,MedioTex,Lille,Textile,2024-04-30,14.08,2,85.27,Livree
8348,MedioTex,Lyon,Textile,2026-01-04,34.26,1,81.7,Livree
8349,MedioTex,Lille,Textile,2025-07-21,32.27,4,79.9,Livree
8350,FreshMarket,Lille,Alimentaire,2024-06-26,18.73,3,83.25,Livree
8351,MedioTex,Lyon,Textile,2022-04-12,26.31,1,57.12,Livree
8352,FreshMarket,Marseille,Alimentaire,2024-02-10,4.87,1,35.6,Livree
8353,NordDrive,Lyon,Pieces auto,2024-09-06,31.9,2,67.88,Livree
8354,FreshMarket,Lyon,Alimentaire,2024-01-20,44.16,2,59.09,Livree
8355,NordDrive,Marseille,Pieces auto,2025-02-06,20.42,2,28.06,Livree
8356,MedioTex,Lille,Textile,2022-03-03,11.6,1,22.51,Incident
8357,NordDrive,Lille,Pieces auto,2023-11-26,44.2,2,50.86,Livree
8358,FreshMarket,Lille,Alimentaire,2022-12-10,18.75,1,80.05,Livree
8359,NordDrive,Lyon,Pieces auto,2023-09-21,35.73,1,35.49,Livree
8360,FreshMarket,Marseille,Alimentaire,2022-07-08,34.7,1,38.43,Livree
8361,FreshMarket,Lille,Alimentaire,2023-08-27,24.67,1,19.94,Livree
8362,NordDrive,Lille,Pieces auto,2023-05-24,13.45,2,67.68,Livree
8363,FreshMarket,Lille,Alimentaire,2024-10-31,35.58,1,78.93,Livree
8364,FreshMarket,Lille,Alimentaire,2022-11-22,31.61,3,48.89,Livree
8365,NordDrive,Lyon,Pieces auto,2022-08-18,41.18,2,24.02,Livree
8366,FreshMarket,Lyon,Alimentaire,2026-02-04,7.09,2,18.2,Livree
8367,NordDrive,Marseille,Pieces auto,2023-11-06,18.24,2,13.59,Livree
8368,NordDrive,Lyon,Pieces auto,2023-12-19,7.99,3,78.92,Livree
8369,NordDrive,Marseille,Pieces auto,2023-12-20,36.86,4,80.4,Livree
8370,NordDrive,Lille,Pieces auto,2023-10-09,7.83,4,88.46,Livree
8371,FreshMarket,Lyon,Alimentaire,2022-10-30,15.66,2,76.93,Livree
8372,FreshMarket,Lyon,Alimentaire,2023-10-19,15.26,2,77.02,Livree
8373,FreshMarket,Lyon,Alimentaire,2022-12-09,39.06,3,67.08,Livree
8374,MedioTex,Lyon,Textile,2023-01-16,44.26,2,13.73,Livree
8375,MedioTex,Lille,Textile,2023-04-09,24.16,2,29.51,Livree
8376,NordDrive,Marseille,Pieces auto,2024-07-22,22.45,2,26.12,Incident
